Dossier,Nb_Elements
"./train/Lutjanus_gibbus_juv",349
"./train/Lutjanus_kasmira",385
"./train/Macolor_niger_adu",297
"./train/Macolor_niger_juv",708
"./train/Melichthys_indicus",357
"./train/Monotaxis_grandoculis_adu",455
"./train/Monotaxis_grandoculis_juv",1165
"./train/Myripristis_berndti",177
"./train/Naso_brachycentron_female",50
"./train/Naso_brachycentron_male",43
"./train/Naso_brevirostris_adu",412
"./train/Naso_brevirostris_juv",37
"./train/Naso_elegans",2427
"./train/Naso_hexacanthus",400
"./train/Naso_unicornis",80
"./train/Naso_vlamingii",610
"./train/Odonus_niger",478
"./train/Oxycheilinus_digramma_adu",370
"./train/Oxycheilinus_digramma_juv",34
"./train/Oxymonacanthus_longirostris",598
"./train/Paracirrhites_arcatus",93
"./train/Paracirrhites_forsteri",154
"./train/Parapercis_hexophtalma",587
"./train/Parupeneus_barberinus",283
"./train/Parupeneus_cyclostomus",338
"./train/Parupeneus_macronemus",1154
"./train/Parupeneus_pleurostigma",108
"./train/Parupeneus_trifasciatus",348
"./train/Plagiotremus_tapeinosoma",163
"./train/Plectroglyphidodon_dickii",474
"./train/Plectroglyphidodon_lacrymatus",560
"./train/Plectropomus_laevis_adu",345
"./train/Plectropomus_laevis_juv",146
"./train/Pomacanthus_imperator",633
"./train/Pomacentrus_caeruleus",180
"./train/Pomacentrus_sulfureus",1619
"./train/Pseudanthias_evansi",162
"./train/Pseudanthias_squamipinnis_female",688
"./train/Pseudanthias_squamipinnis_male",323
"./train/Pseudodax_moluccanus_adu",29
"./train/Pseudodax_moluccanus_juv",23
"./train/Pterocaesio_tile",324
"./train/Pycnochromis_fieldi",915
"./train/Pygoplites_diacanthus",953
"./train/Sargocentron_caudimaculatum",311
"./train/Sargocentron_diadema",178
"./train/Scarus_caudofasciatus_female",3
"./train/Scarus_frenatus_female",59
"./train/Scarus_frenatus_juvenile",154
"./train/Scarus_frenatus_male",154
"./train/Scarus_niger_female",15
"./train/Scarus_niger_male",45
"./train/Scarus_tricolor_female",547
"./train/Scarus_tricolor_male",174
"./train/Siganus_argenteus",159
"./train/Stethojulis_albovittata_female",96
"./train/Stethojulis_albovittata_male",57
"./train/Sufflamen_bursa",139
"./train/Sufflamen_chrysopterum",162
"./train/Thalassoma_amblycephalum_female",147
"./train/Thalassoma_amblycephalum_male",219
"./train/Thalassoma_hardwicke",1921
"./train/Thalassoma_hebraicum",707
"./train/Thalassoma_lunare",326
"./train/Variola_louti",238
"./train/Zanclus_cornutus",1407
"./train/Zebrasoma_desjardinii",121
"./train/Zebrasoma_scopas",1797
"./train/_calcareous",200
"./train/_coral_hard",200
"./train/_coral_soft",200
"./train/_dark",200
"./train/_macroalgae",200
"./train/_sand",200
"./train/_water_blue",200
"./train/_water_surface",200
