Dossier,species,type,dimorphism,lifestage,test,train,total_img,order,family,genus
Lutjanus_gibbus_juv,lutjanus gibbus,species,TRUE,juv,195,349,544,Perciformes,Lutjanidae,Lutjanus
Lutjanus_kasmira,lutjanus kasmira,species,FALSE,NA,188,385,573,Perciformes,Lutjanidae,Lutjanus
Macolor_niger_adu,macolor niger,species,TRUE,adu,122,297,419,Perciformes,Lutjanidae,Macolor
Macolor_niger_juv,macolor niger,species,TRUE,juv,243,708,951,Perciformes,Lutjanidae,Macolor
Melichthys_indicus,melichthys indicus,species,FALSE,NA,121,357,478,Tetraodontiformes,Balistidae,Melichthys
Monotaxis_grandoculis_adu,monotaxis grandoculis,species,TRUE,adu,343,455,798,Perciformes,Lethrinidae,Monotaxis
Monotaxis_grandoculis_juv,monotaxis grandoculis,species,TRUE,juv,1049,1165,2214,Perciformes,Lethrinidae,Monotaxis
Myripristis_berndti,myripristis berndti,species,FALSE,NA,89,177,266,Beryciformes,Holocentridae,Myripristis
Naso_brachycentron_male,naso brachycentron,species,TRUE,male,39,43,82,Perciformes,Acanthuridae,Naso
Naso_brevirostris_adu,naso brevirostris,species,TRUE,adu,292,412,704,Perciformes,Acanthuridae,Naso
Naso_elegans,naso elegans,species,FALSE,NA,2324,2427,4751,Perciformes,Acanthuridae,Naso
Naso_hexacanthus,naso hexacanthus,species,FALSE,NA,298,400,698,Perciformes,Acanthuridae,Naso
Naso_unicornis,naso unicornis,species,FALSE,NA,18,80,98,Perciformes,Acanthuridae,Naso
Naso_vlamingii,naso vlamingii,species,FALSE,NA,463,610,1073,Perciformes,Acanthuridae,Naso
Odonus_niger,odonus niger,species,FALSE,NA,305,478,783,Tetraodontiformes,Balistidae,Odonus
Oxycheilinus_digramma_adu,oxycheilinus digramma,species,TRUE,adu,230,370,600,Perciformes,Labridae,Oxycheilinus
Oxycheilinus_digramma_juv,oxycheilinus digramma,species,TRUE,juv,26,34,60,Perciformes,Labridae,Oxycheilinus
Oxymonacanthus_longirostris,oxymonacanthus longirostris,species,FALSE,NA,502,598,1100,Tetraodontiformes,Monacanthidae,Oxymonacanthus
Paracirrhites_arcatus,paracirrhites arcatus,species,FALSE,NA,71,93,164,Perciformes,Cirrhitidae,Paracirrhites
Paracirrhites_forsteri,paracirrhites forsteri,species,FALSE,NA,144,154,298,Perciformes,Cirrhitidae,Paracirrhites
Parapercis_hexophtalma,parapercis hexophtalma,species,FALSE,NA,225,587,812,Perciformes,Pinguipedidae,Parapercis
Parupeneus_barberinus,parupeneus barberinus,species,FALSE,NA,263,283,546,Perciformes,Mullidae,Parupeneus
Parupeneus_cyclostomus,parupeneus cyclostomus,species,FALSE,NA,329,338,667,Perciformes,Mullidae,Parupeneus
Parupeneus_macronemus,parupeneus macronemus,species,FALSE,NA,936,1154,2090,Perciformes,Mullidae,Parupeneus
Parupeneus_pleurostigma,parupeneus pleurostigma,species,FALSE,NA,13,108,121,Perciformes,Mullidae,Parupeneus
Parupeneus_trifasciatus,parupeneus trifasciatus,species,FALSE,NA,265,348,613,Perciformes,Mullidae,Parupeneus
Plagiotremus_tapeinosoma,plagiotremus tapeinosoma,species,FALSE,NA,41,163,204,Perciformes,Blenniidae,Plagiotremus
Plectroglyphidodon_dickii,plectroglyphidodon dickii,species,FALSE,NA,443,474,917,Perciformes,Pomacentridae,Plectroglyphidodon
Plectroglyphidodon_lacrymatus,plectroglyphidodon lacrymatus,species,FALSE,NA,389,560,949,Perciformes,Pomacentridae,Plectroglyphidodon
Plectropomus_laevis_adu,plectropomus laevis,species,TRUE,adu,166,345,511,Perciformes,Serranidae,Plectropomus
Plectropomus_laevis_juv,plectropomus laevis,species,TRUE,juv,31,146,177,Perciformes,Serranidae,Plectropomus
Pomacanthus_imperator,pomacanthus imperator,species,FALSE,NA,536,633,1169,Perciformes,Pomacanthidae,Pomacanthus
Pomacentrus_sulfureus,pomacentrus sulfureus,species,FALSE,NA,1395,1619,3014,Perciformes,Pomacentridae,Pomacentrus
Pseudanthias_evansi,pseudanthias evansi,species,FALSE,NA,80,162,242,Perciformes,Serranidae,Pseudanthias
Pseudanthias_squamipinnis_female,pseudanthias squamipinnis,species,TRUE,female,176,688,864,Perciformes,Serranidae,Pseudanthias
Pseudanthias_squamipinnis_male,pseudanthias squamipinnis,species,TRUE,male,173,323,496,Perciformes,Serranidae,Pseudanthias
Pterocaesio_tile,pterocaesio tile,species,FALSE,NA,64,324,388,Perciformes,Caesionidae,Pterocaesio
Pycnochromis_fieldi,pycnochromis fieldi,species,FALSE,NA,764,915,1679,Perciformes,Pomacentridae,Chromis
Pygoplites_diacanthus,pygoplites diacanthus,species,FALSE,NA,756,953,1709,Perciformes,Pomacanthidae,Pygoplites
Sargocentron_caudimaculatum,sargocentron caudimaculatum,species,FALSE,NA,244,311,555,Beryciformes,Holocentridae,Sargocentron
Sargocentron_diadema,sargocentron diadema,species,FALSE,NA,112,178,290,Beryciformes,Holocentridae,Sargocentron
Scarus_frenatus_female,scarus frenatus,species,TRUE,female,32,59,91,Perciformes,Scaridae,Scarus
Scarus_frenatus_juvenile,scarus frenatus,species,TRUE,juvenile,86,154,240,Perciformes,Scaridae,Scarus
Scarus_frenatus_male,scarus frenatus,species,TRUE,male,70,154,224,Perciformes,Scaridae,Scarus
Scarus_niger_male,scarus niger,species,TRUE,male,44,45,89,Perciformes,Scaridae,Scarus
Scarus_tricolor_female,scarus tricolor,species,TRUE,female,243,547,790,Perciformes,Scaridae,Scarus
Scarus_tricolor_male,scarus tricolor,species,TRUE,male,105,174,279,Perciformes,Scaridae,Scarus
Siganus_argenteus,siganus argenteus,species,FALSE,NA,88,159,247,Perciformes,Siganidae,Siganus
Stethojulis_albovittata_female,stethojulis albovittata,species,TRUE,female,35,96,131,Perciformes,Labridae,Stethojulis
Stethojulis_albovittata_male,stethojulis albovittata,species,TRUE,male,47,57,104,Perciformes,Labridae,Stethojulis
Sufflamen_bursa,sufflamen bursa,species,FALSE,NA,85,139,224,Tetraodontiformes,Balistidae,Sufflamen
Sufflamen_chrysopterum,sufflamen chrysopterum,species,FALSE,NA,81,162,243,Tetraodontiformes,Balistidae,Sufflamen
Thalassoma_amblycephalum_female,thalassoma amblycephalum,species,TRUE,female,88,147,235,Perciformes,Labridae,Thalassoma
Thalassoma_amblycephalum_male,thalassoma amblycephalum,species,TRUE,male,141,219,360,Perciformes,Labridae,Thalassoma
Thalassoma_hardwicke,thalassoma hardwicke,species,FALSE,NA,1610,1921,3531,Perciformes,Labridae,Thalassoma
Thalassoma_hebraicum,thalassoma hebraicum,species,FALSE,NA,386,707,1093,Perciformes,Labridae,Thalassoma
Thalassoma_lunare,thalassoma lunare,species,FALSE,NA,276,326,602,Perciformes,Labridae,Thalassoma
Variola_louti,variola louti,species,FALSE,NA,157,238,395,Perciformes,Serranidae,Variola
Zanclus_cornutus,zanclus cornutus,species,FALSE,NA,1179,1407,2586,Perciformes,Zanclidae,Zanclus
Zebrasoma_desjardinii,zebrasoma desjardinii,species,FALSE,NA,33,121,154,Perciformes,Acanthuridae,Zebrasoma
Zebrasoma_scopas,zebrasoma scopas,species,FALSE,NA,1576,1797,3373,Perciformes,Acanthuridae,Zebrasoma
Anampses_caeruleopunctatus,anampses caeruleopunctatus,species,FALSE,NA,0,22,22,Perciformes,Labridae,Anampses
Canthigaster_bennetti,canthigaster bennetti,species,FALSE,NA,0,40,40,Tetraodontiformes,Tetraodontidae,Canthigaster
Cheilio_inermis,cheilio inermis,species,FALSE,NA,0,8,8,Perciformes,Labridae,Cheilio
Dascyllus_trimaculatus_juv,dascyllus trimaculatus,species,TRUE,juv,0,180,180,Perciformes,Pomacentridae,Dascyllus
Epinephelus_rivulatus,epinephelus rivulatus,species,FALSE,NA,0,11,11,Perciformes,Serranidae,Epinephelus
Hemigymnus_melapterus,hemigymnus melapterus,species,FALSE,NA,0,22,22,Perciformes,Labridae,Hemigymnus
Labrichthys_unilineatus_juv,labrichthys unilineatus,species,TRUE,juv,0,149,149,Perciformes,Labridae,Labrichthys
Labroides_dimidiatus_juv,labroides dimidiatus,species,TRUE,juv,0,112,112,Perciformes,Labridae,Labroides
Lutjanus_gibbus_adu,lutjanus gibbus,species,TRUE,adu,0,162,162,Perciformes,Lutjanidae,Lutjanus
Naso_brachycentron_female,naso brachycentron,species,TRUE,female,0,50,50,Perciformes,Acanthuridae,Naso
Naso_brevirostris_juv,naso brevirostris,species,TRUE,juv,0,37,37,Perciformes,Acanthuridae,Naso
Pomacentrus_caeruleus,pomacentrus caeruleus,species,FALSE,NA,0,180,180,Perciformes,Pomacentridae,Pomacentrus
Pseudodax_moluccanus_adu,pseudodax moluccanus,species,TRUE,adu,0,29,29,Perciformes,Labridae,Pseudodax
Pseudodax_moluccanus_juv,pseudodax moluccanus,species,TRUE,juv,0,23,23,Perciformes,Labridae,Pseudodax
Scarus_caudofasciatus_female,scarus caudofasciatus,species,TRUE,female,0,3,3,Perciformes,Scaridae,Scarus
Scarus_niger_female,scarus niger,species,TRUE,female,0,15,15,Perciformes,Scaridae,Scarus
_calcareous, calcareous,background,FALSE,NA,0,200,200,NA,NA,NA
_coral_hard, coral_hard,background,TRUE,hard,0,200,200,NA,NA,NA
_coral_soft, coral_soft,background,TRUE,soft,0,200,200,NA,NA,NA
_dark, dark,background,FALSE,NA,0,200,200,NA,NA,NA
_macroalgae, macroalgae,background,FALSE,NA,0,200,200,NA,NA,NA
_sand, sand,background,FALSE,NA,0,200,200,NA,NA,NA
_water_blue, water_blue,background,TRUE,blue,0,200,200,NA,NA,NA
_water_surface, water_surface,background,TRUE,surface,0,200,200,NA,NA,NA
